UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,UGDS_delta,UGDS_WOMEN_delta,UGDS_MEN_delta,ADM_RATE_delta,SAT_AVG_delta,ACTCMMID_delta,RET_FT4_delta,C150_4_delta,TUITIONFEE_IN_delta,TUITIONFEE_OUT_delta,UGDS_WHITE_delta,UGDS_BLACK_delta,UGDS_HISP_delta,UGDS_ASIAN_delta,won_One_year_ago,lost_One_year_ago,tied_One_year_ago,games_One_year_ago,won_Two_years_ago,lost_Two_years_ago,tied_Two_years_ago,games_Two_years_ago,won_Three_years_ago,lost_Three_years_ago,tied_Three_years_ago,games_Three_years_ago,won_Four_years_ago,lost_Four_years_ago,tied_Four_years_ago,games_Four_years_ago,won_Five_years_ago,lost_Five_years_ago,tied_Five_years_ago,games_Five_years_ago,won_Six_years_ago,lost_Six_years_ago,tied_Six_years_ago,games_Six_years_ago,won_Seven_years_ago,lost_Seven_years_ago,tied_Seven_years_ago,games_Seven_years_ago,won_Eight_years_ago,lost_Eight_years_ago,tied_Eight_years_ago,games_Eight_years_ago,won_Nine_years_ago,lost_Nine_years_ago,tied_Nine_years_ago,games_Nine_years_ago,won_Ten_years_ago,lost_Ten_years_ago,tied_Ten_years_ago,games_Ten_years_ago,won_Eleven_year_ago,lost_Eleven_year_ago,tied_Eleven_year_ago,games_Eleven_year_ago,won_Twelve_years_ago,lost_Twelve_years_ago,tied_Twelve_years_ago,games_Twelve_years_ago,won_Thirteen_years_ago,lost_Thirteen_years_ago,tied_Thirteen_years_ago,games_Thirteen_years_ago,won_Fourteen_years_ago,lost_Fourteen_years_ago,tied_Fourteen_years_ago,games_Fourteen_years_ago,won_Fifteen_years_ago,lost_Fifteen_years_ago,tied_Fifteen_years_ago,games_Fifteen_years_ago,won_Sixteen_years_ago,lost_Sixteen_years_ago,tied_Sixteen_years_ago,games_Sixteen_years_ago,won_Seventeen_years_ago,lost_Seventeen_years_ago,tied_Seventeen_years_ago,games_Seventeen_years_ago,won_Eighteen_years_ago,lost_Eighteen_years_ago,tied_Eighteen_years_ago,games_Eighteen_years_ago,won_Nineteen_years_ago,lost_Nineteen_years_ago,tied_Nineteen_years_ago,games_Nineteen_years_ago,won_Twenty_years_ago,lost_Twenty_years_ago,tied_Twenty_years_ago,games_Twenty_years_ago
102094,00105700,University of South Alabama,Mobile,1996,4777.0,1,2,4,5,12,13,0.3743,5294.0,0.6624,1200.0,6983.0,8131.0,3108.0,3108.0,1,0.5579,0.4421,,1046.0,23.0,0.7098,0.3648,6204.0,12108.0,0.6109,0.2213,0.0279,0.0317,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104179,00108300,University of Arizona,Tucson,1996,25158.0,1,1,4,6,11,13,0.2896,6590.0,0.7586,808.0,8818.5,10125.0,3350.0,5600.0,1,0.5065,0.4935,,1103.0,24.0,0.8039,0.5932999999999999,10035.0,25494.0,0.5227,0.038,0.2535,0.054,2,,,,,,,,,,,,,,,8,4,0,12,10,2,0,12,6,5,1,12,4,7,0,11,7,5,0,12,8,4,0,12,7,4,0,11,4,4,3,11,9,3,0,12,8,3,1,12,7,4,0,11,7,3,1,11,6,4,1,11,6,5,0,11,5,6,0,11,6,5,1,12,5,6,0,11,5,7,0,12,5,6,0,11,9,2,0,11
106397,00110800,University of Arkansas,Fayetteville,1996,11524.0,1,1,4,5,13,13,0.2043,5469.0,0.9075,1046.0,8186.0,9454.0,3689.0,3972.0,1,0.4736,0.5264,,1157.5,26.0,0.8285,0.58505,7174.0,17606.0,0.7686999999999999,0.0475,0.0789,0.0253,2,,,,,,,,,,,,,,,4,7,0,11,6,4,1,11,3,7,1,11,6,6,0,12,3,8,0,11,10,2,0,12,10,2,0,12,9,4,0,13,9,3,0,12,10,2,0,12,7,4,1,12,6,5,0,11,9,2,1,12,8,4,0,12,7,5,0,12,10,2,0,12,9,2,1,12,11,1,0,12,5,5,1,11,10,2,0,12
106458,00109000,Arkansas State University,Jonesboro,1996,8762.0,1,3,4,5,13,13,0.4412,4722.0,0.7376,1000.0,6718.0,9657.0,3708.5,3636.0,1,0.5544,0.4456,,1058.0,23.0,0.7284,0.38580000000000003,6934.0,13120.0,0.7304999999999999,0.14215,0.0252,0.0078,2,,,,,,,,,,,,,,,1,10,0,11,2,8,1,11,2,9,0,11,1,10,0,11,3,7,1,11,5,6,0,11,5,6,0,11,8,4,1,13,12,2,1,15,9,4,0,13,8,4,1,13,5,5,1,11,5,6,0,11,6,5,0,11,2,9,0,11,4,7,0,11,7,4,0,11,7,4,0,11,5,6,0,11,11,0,0,11
127060,00137100,University of Denver,Denver,1996,3338.0,1,1,4,7,11,13,0.1649,6171.0,0.5073,1200.0,10201.5,11094.5,2469.0,2059.5,1,0.5824,0.4176,,1230.5,28.0,0.865,0.7503500000000001,37833.0,37833.0,0.6831499999999999,0.025050000000000003,0.09834999999999999,0.0416,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139755,00156900,Georgia Institute of Technology-Main Campus,Atlanta,1996,9453.0,1,1,4,5,11,13,0.1485,7707.0,0.9568,1000.0,8826.0,10924.0,1620.0,1620.0,1,0.2775,0.7225,,1344.5,30.0,0.9552,0.7905,9875.0,28632.0,0.50405,0.0668,0.0665,0.1938,2,,,,,,,,,,,,,,,1,10,0,11,5,6,0,11,5,6,0,11,8,5,0,13,11,0,1,12,7,4,0,11,3,8,0,11,2,9,0,11,5,5,1,11,9,2,1,12,6,4,1,11,3,8,0,11,6,5,0,11,1,10,0,11,1,9,1,11,4,6,1,11,7,5,0,12,6,5,0,11,4,6,1,11,7,4,0,11
139931,00157200,Georgia Southern University,Statesboro,1996,12550.0,1,1,4,5,32,13,0.3697,4758.0,0.8801,1200.0,8717.0,8326.0,5650.0,5650.0,1,0.5411,0.4589,,1086.5,23.0,0.79,0.45985,5659.0,15240.0,0.6251500000000001,0.25525,0.0502,0.0171,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139940,00157400,Georgia State University,Atlanta,1996,15641.0,1,1,4,5,11,13,0.497,6590.0,0.9435,1260.0,11380.0,9510.0,2888.0,4040.0,1,0.6028,0.3972,,1077.5,23.0,0.8232,0.4773,8368.0,23186.0,0.25485,0.41065,0.09995000000000001,0.12885000000000002,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139959,00159800,University of Georgia,Athens,1996,22673.0,1,1,4,5,12,13,0.2153,6432.0,0.8657,868.0,8584.0,7946.0,1912.0,3951.0,1,0.5361,0.4639,,1230.5,28.0,0.9415,0.8028,9472.0,27682.0,0.7071000000000001,0.0738,0.0557,0.09815,2,,,,,,,,,,,,,,,6,4,1,11,5,6,0,11,10,2,0,12,9,3,0,12,4,7,0,11,6,6,0,12,9,3,0,12,9,3,0,12,8,4,0,12,7,3,2,12,7,4,1,12,10,1,1,12,11,1,0,12,10,2,0,12,12,0,0,12,6,5,0,11,9,2,1,12,5,6,0,11,10,2,0,12,9,3,0,12
153603,00186900,Iowa State University,Ames,1996,20100.0,1,1,4,4,13,13,0.2113,6730.0,0.8444,997.5,7546.5,7950.0,2632.0,3164.0,1,0.43,0.57,,1145.0,25.0,0.8639,0.68055,7486.0,19358.0,0.7682,0.026250000000000002,0.0487,0.03055,2,,,,,,,,,,,,,,,0,10,1,11,3,8,0,11,4,7,0,11,3,7,1,11,4,6,1,11,6,5,0,11,5,6,0,11,3,8,0,11,6,5,0,11,5,6,0,11,2,7,2,11,4,7,0,11,4,6,1,11,5,5,1,11,6,5,0,11,3,8,0,11,8,4,0,12,8,4,0,12,8,3,0,11,4,7,0,11
